session_year,session_name,session_id,bill_number,title,description,status,status_desc,last_action,last_action_date,url,state_link,matched_keywords
2026,2026 Regular Regular Session,2237,,"Employment; paid sick leave, civil penalties.","Employment; paid sick leave; civil penalties. Expands provisions of the Code that currently require one hour of paid sick leave for every 30 hours worked for home health workers to cover all employees of private employers and state and local governments. The bill requires that employees who are employed and compensated on a fee-for-service basis accrue paid sick leave in accordance with regulations adopted by the Commissioner of Labor and Industry. The bill provides that employees transferred to a separate division or location remain entitled to previously accrued paid sick leave and that employees retain their accrued sick leave under any successor employer. The bill allows employers to provide a more generous paid sick leave policy than prescribed by its provisions and specifies that employees, in addition to using paid sick leave for their physical or mental illness or to care for a family member, may use paid sick leave to seek or obtain certain services or to relocate or secure an existing home due to domestic abuse, sexual assault, or stalking. The bill provides that certain health care workers who work no more than 30 hours per month may waive the right to accrue and use paid sick leave. The bill also provides that employers are not required to provide paid sick leave to certain health care workers who are employed on a pro re nata, or as-needed, basis, regardless of the number of hours worked. The bill requires the Commissioner to promulgate regulations regarding employee notification and employer recordkeeping requirements. The bill authorizes the Commissioner, in the case of a knowing violation, to subject an employer to a civil penalty not to exceed $150 for the first violation, $300 for the second violation, and $500 for each successive violation. The Commissioner may institute proceedings on behalf of an employee to enforce compliance with the provisions of this bill. Additionally, the bill authorizes an aggrieved employee to bring a civil action against the employer in which he may recover double the amount of any unpaid sick leave and the amount of any actual damages suffered as the result of the employer's violation. The bill has a delayed effective date of July 1, 2027.",1,,Committee Referral Pending,2025-11-17,https://legiscan.com/VA/bill/HB5/2026,,home health
2026,2026 Regular Regular Session,2237,,"Law-enforcement officers; restrictions on wearing of facial coverings, exceptions, civil liability.","Law-enforcement officers; restrictions on wearing of facial coverings; exceptions; civil liability; penalty. Prohibits certain state and federal law-enforcement officers from wearing facial coverings, defined in the bill, while engaged in the performance of their official duties. The bill sets out several exceptions to such prohibition, including protective facial coverings to protect against disease, infection, and exposure to toxic substances and facial coverings worn by any law-enforcement officer assigned to a special weapons and tactics team while engaged in the performance of his official duties with such team. The bill subjects the law-enforcement officer to disciplinary action, including dismissal, demotion, suspension, transfer, or decertification, and creates a Class 1 misdemeanor for any law-enforcement officer who wears a facial covering in violation of the provisions of the bill unless the law-enforcement agency that employs such law-enforcement officer has adopted and established a written policy for and restrictions on the use of facial coverings. The bill also directs the Department of Criminal Justice Services to develop a model policy for and restrictions on the use of facial coverings by law-enforcement officers. Finally, the bill creates a civil cause of action for any person injured as a result of tortious conduct by a law-enforcement officer who knowingly and intentionally wears a facial covering in violation of the provisions of the bill. The bill provides that sovereign immunity shall not be a defense to civil liability for such tortious conduct.",1,,Committee Referral Pending,2025-11-20,https://legiscan.com/VA/bill/HB7/2026,,pension
2026,2026 Regular Regular Session,2237,,Virginia Residential Landlord and Tenant Act; enforcement by localities.,"Virginia Residential Landlord and Tenant Act; enforcement by localities. Provides that if a condition exists in a dwelling unit that constitutes a material noncompliance by the landlord with the rental agreement or with any provision of law that, if not remedied within a reasonable time frame, constitutes a fire hazard or serious threat to the life, health, or safety of a tenant or occupant of the premises, a locality may institute an action on behalf of any tenant or occupant of the premises who is injured by such material noncompliance for injunction and damages to enforce the landlord's duty to maintain the dwelling unit in a fit and habitable condition, provided that (i) the premises where the violation occurred is within the jurisdictional boundaries of the locality and (ii) the locality has notified the landlord who owns the premises, either directly or through the managing agent, of the nature of the violation and the landlord has failed to remedy the violation to the satisfaction of the locality within a reasonable time after receiving such notice.",1,,Committee Referral Pending,2025-12-22,https://legiscan.com/VA/bill/HB14/2026,,aging
2026,2026 Regular Regular Session,2237,,"Developmental disability waivers; financial eligibility standards, sunset repeal.","Developmental disability waivers; financial eligibility standards; sunset repeal. Repeals the July 1, 2026, sunset on provisions directing the Department of Medical Assistance Services to disregard Social Security Disability Insurance income above the maximum monthly Supplemental Security Income when determining financial eligibility for developmental disability waivers.",1,,Committee Referral Pending,2025-12-23,https://legiscan.com/VA/bill/HB37/2026,,social security
2026,2026 Regular Regular Session,2237,,"Income tax, state; subtractions, uniformed services and foreign service retirement benefits.","Income tax subtractions; uniformed services and foreign service retirement benefits. Provides that, for taxable years beginning on and after January 1, 2027, (i) the military retirement income tax subtraction allowed under current law shall include retirement income of uniformed service members and (ii) up to $40,000 of United States Foreign Service member retirement benefits shall be subtracted in computing Virginia taxable income.",1,,Committee Referral Pending,2025-12-29,https://legiscan.com/VA/bill/HB47/2026,,retirement
2026,2026 Regular Regular Session,2237,,Virginia Residential Landlord and Tenant Act; duties of landlord; mold remediation; civil penalty.,"Virginia Residential Landlord and Tenant Act; duties of landlord; mold remediation; civil penalty. Provides that a tenant, authorized occupant, or guest or invitee of a tenant or authorized occupant may bring a personal injury or wrongful death action for exposure to mold arising from the condition within the interior of a dwelling unit or for any property damage claims arising out of the landlord-tenant relationship to recover (i) compensatory damages, including medical bills, lost wages, and injury to personal property; (ii) punitive damages; and (iii) reasonable attorney fees and costs, if the mold is caused solely by the gross negligence or willful misconduct of the landlord or managing agent. The bill also mandates a landlord to require a tenant to temporarily vacate the dwelling unit in order for the landlord to perform mold remediation in accordance with professional standards if it has been determined by a physician or other qualified medical professional and certified by a written medical statement that the mold condition in the dwelling unit materially affects the health or safety of the tenant or any authorized occupant.",1,,Committee Referral Pending,2025-12-31,https://legiscan.com/VA/bill/HB79/2026,,aging
2026,2026 Regular Regular Session,2237,,School board employee grievance procedure; timing of dispute resolution.,"School board employee grievance procedure; timing of dispute resolution. Requires the school board employee grievance procedure to afford a timely and fair method of the resolution of disputes arising between the school board and such employees before dismissal or other disciplinary actions, excluding suspensions. Current law requires such procedure to afford a timely and fair method of the resolution of disputes arising between the school board and such employees regarding dismissal or other disciplinary actions, excluding suspensions, but is silent on the timing of such dispute resolution.",1,,Committee Referral Pending,2026-01-02,https://legiscan.com/VA/bill/HB116/2026,,pension
2026,2026 Regular Regular Session,2237,,Children; adjudication of delinquency.,"Children; adjudication of delinquency. Specifies that ""delinquent child"" means a child 11 years of age or older who has committed a delinquent act. Currently, there is no minimum age for a child to be adjudicated delinquent. The bill provides that if a child younger than 11 years of age is found to have committed an act that would be delinquent if committed by a child 11 years of age or older, the child shall not be proceeded upon as delinquent; however, the court may make any orders of disposition authorized for a child in need of services or a child in need of supervision. The bill also provides that any funding that is available to provide services to a child 11 years of age or older who is proceeded upon as delinquent shall also be made available to a child younger than 11 years of age who is found to have committed an act that would be delinquent if committed by a child 11 years of age or older in order to provide such child with the same services. The bill includes in the definition of ""child in need of services"" a child younger than 11 years of age who has committed an act that would be delinquent if committed by a child 11 years of age or older. The bill adds that a child may be taken into immediate custody when such child is alleged to be in need of services or supervision and there is a clear and substantial danger to the safety of the child's family or the safety of the public. Currently, a child may be taken into immediate custody when such child is alleged to be in need of services or supervision and there is a clear and substantial danger to the child's life or health. Finally, the bill includes in the offense of causing or encouraging acts rendering children delinquent, abused, etc., any person 18 years of age or older, including the parent of any child, who willfully contributes to, encourages, or causes any act, omission, or condition that (i) causes a child younger than 11 years of age to commit an act that would be delinquent if committed by a child 11 years of age or older or (ii) causes any child to participate in or become a member of a criminal street gang in violation of existing law. Under the bill, any person who commits such offense is guilty of a Class 1 misdemeanor.",1,,Referred to Committee for Courts of Justice,2025-11-17,https://legiscan.com/VA/bill/SB18/2026,,aging
2026,2026 Regular Regular Session,2237,,Plea agreements and court orders; prohibited provisions.,"Plea agreements and court orders; prohibited provisions. Prohibits plea agreements and court orders executed or entered on or after July 1, 2026, from containing any provision that purports to waive, release, or extinguish a defendant's (i) rights under the Fourth Amendment to the Constitution of the United States and Article I, Section 10 of the Constitution of Virginia; (ii) right to file a petition requesting expungement of the police records and the court records; or (iii) right to have criminal history record information and court records sealed. The bill provides that any such prohibited provision of a plea agreement or court order is void and unenforceable as against public policy. The bill provides that such prohibition does not apply to any plea agreements, written agreements, or court orders entered into by a defendant and the Commonwealth (a) as a condition for participation in a specialty docket or (b) in a case involving a sexual offense where the victim is younger than 18 years of age. The bill further provides that any waiver, release, or extinguishment of rights under the Fourth Amendment permissible by law shall be no longer than the period of supervised probation imposed against the defendant; if the defendant is not placed on supervised probation, it shall be no longer than the period of suspension of sentence imposed against such defendant.",1,,Referred to Committee for Courts of Justice,2025-11-17,https://legiscan.com/VA/bill/SB23/2026,,pension
2026,2026 Regular Regular Session,2237,,Public schools; best practice of tech. tools to assist w/identifying students at risk of self-harm.,"Department of Education; best practices for implementation in public schools of technology tools to assist with the identification of students at risk of engaging in self-harm or intending to inflict harm on others; report. Directs the Department of Education to convene a work group consisting of representatives set forth in the bill, as determined by the Department in consultation with and based on consideration of suggestions from statewide education organizations and appropriate technology industries, for the purpose of identifying and making recommendations to the chairs of the Senate Committee on Education and Health and the House Committee on Education on best practices for the procurement, implementation, and use in public schools of technology tools designed to assist with the identification of students at risk of engaging in self-harm or intending to inflict harm on others.",1,,Referred to Committee on Education and Health,2025-11-19,https://legiscan.com/VA/bill/SB39/2026,,aging
